"","pheno1"
"rs6404446",2.01576646146323e-05
"rs32101154",2.01576646022889e-05
"c1.loc9",0.000907319026909293
"rs6253968",0.00303461030737674
"c1.loc9.3",0.00227972449587574
"rs32315565",0.0229562511452922
"rs31766107",6.32719811130709e-05
"c1.loc9.7",0.000192361197962696
"rs46856073",0.00125477027098608
"rs46249537",0.00132289106685844
"rs31949292",0.00137436129728979
"rs30499557",0.00526039157088824
"c1.loc10.4",0.00827998445413806
"c1.loc10.5",0.0118268045186286
"c1.loc10.7",0.0156604035331746
"rs6316488",0.0195047033512722
"c1.loc11",0.0238900388858516
"c1.loc11.2",0.0284442309046861
"c1.loc11.4",0.0330115897913588
"rs32400861",0.0374401940547103
"rs32597415",0.0374401940545313
"rs228543676",0.0372192076950326
"c1.loc11.9",0.039389224085409
"rs239824187",0.0407521180989791
"rs13475765",0.0405767816764556
"rs4222215",0.0778656993616398
"rs13475766",0.0778656993613683
"rs31567874",0.0402313158746155
"c1.loc12.6",0.0504736234426536
"rs32245765",0.0593679700016091
"rs32487442",0.0898104391266262
"rs13475771",0.11921510190128
"c1.loc13.2",0.132701468536344
"c1.loc13.4",0.144415502874804
"rs13475772",0.153529815850864
"c1.loc13.7",0.0884214138312938
"c1.loc13.9",0.0381506861471289
"rs32249228",0.00808334113021999
"rs32331653",8.76161894639948e-05
"rs32086436",8.76161894701665e-05
"rs48222526",0.00887880869934197
"c1.loc14.5",0.0285101021797169
"rs223334166",0.0580479169372773
"rs31670161",0.0580479169370427
"rs31134323",0.0576718309583584
"rs47868189",0.0576718309579881
"rs31600419",0.0221833302253925
"rs30514876",0.0228010305332569
"rs32110348",0.0228010305330779
"rs31590459",0.0225626603295828
"rs32372810",0.0223231459358169
"rs32684509",0.0220824811690742
"rs230225148",0.0220824811688706
"c1.loc15.5",0.016557473322405
"rs48664698",0.0112144967166757
"c1.loc15.8",0.0331693740667357
"rs32760971",0.0656298446261116
"rs31818207",0.0656298446269818
"c1.loc16.2",0.0785841584893288
"c1.loc16.4",0.0916918311797004
"c1.loc16.5",0.104249527791799
"c1.loc16.7",0.11557714067289
"c1.loc16.9",0.12513692641797
"rs30598074",0.132613705445887
"rs13475795",0.132613705490132
"rs30849932",0.186685705387216
"rs46323879",0.185964510073768
"rs31518908",0.185964510073138
"rs31710287",0.18993766422736
"rs16808053",0.18993766422673
"rs221967485",0.219162965511181
"rs47717565",0.248463163122668
"rs13475808",0.276743874750931
"rs30604008",0.182698975150744
"rs30525912",0.171842638096156
"rs13475810",0.244343293541175
"rs13475816",0.244343293541181
"rs32180312",0.172520267705848
"c1.loc18.5",0.258155726474637
"c1.loc18.7",0.358730865038083
"c1.loc18.8",0.470530730073994
"rs31935537",0.588885225158575
"rs32551229",0.588885225174535
"rs32942136",0.567919425258611
"rs32635513",0.55671956196088
"rs3705697",0.556719561975278
"Affy_10345622",0.375094537052649
"Affy_5433680",0.39017549852392
"c1.loc19.6",0.476143291919202
"rs32988364",0.562742164014759
"rs31528685",0.436503377260089
"rs30611861",0.436229388228937
"rs31574517",0.436229388229153
"rs30868358",0.562984717155998
"c1.loc20.3",0.587557218253806
"rs31440687",0.585055008363679
"c1.loc20.5",0.565351731902703
"rs51951745",0.532925144321741
"rs31449667",0.532834666996303
"c1.loc20.9",0.525335895379604
"rs33132305",0.517656014018998
"rs30551147",0.52021632189782
"c1.loc21.4",0.509981725089446
"rs13475821",0.499478704140169
"c1.loc21.8",0.427933193428136
"c1.loc22",0.352222452956641
"c1.loc22.2",0.27743875634055
"rs36367128",0.208365014121514
"c1.loc22.6",0.267727844005644
"c1.loc22.8",0.331316845417527
"c1.loc23",0.396070215885996
"rs32764284",0.458720475712025
"rs37147416",0.458720475711957
"c1.loc23.3",0.344740707030157
"c1.loc23.5",0.237085803578115
"rs13475829",0.145530038172809
"rs52625624",0.145410908655622
"rs48741666",0.145410908655628
"rs30667783",0.145461956592108
"rs29552839",0.171412433520982
"c1.loc24.2",0.170816755557286
"rs29633641",0.170221293521835
"rs31864177",0.195926507843894
"rs13475833",0.19533126373831
"rs33275490",0.221099833667312
"rs3714219",0.274965795098175
"c1.loc25",0.229693596445476
"c1.loc25.2",0.180866529075277
"c1.loc25.4",0.132825553474812
"rs32671223",0.0898503772407104
"rs33392587",0.0898503772406364
"c1.loc25.7",0.0664104001604898
"rs52628759",0.0452558622028064
"rs31652254",0.0452558622027817
"c1.loc26",0.0453343217839544
"rs32044299",0.0454128405421358
"rs31012703",0.0898357255337976
"rs33444638",0.0898357255338654
"rs33447118",0.0897401876544254
"rs33447121",0.0454130443784109
"c1.loc26.6",0.0415505834783892
"rs47782085",0.036099213965469
"rs50434840",0.0360992139655122
"rs30761526",0.0763763423905172
"rs31572802",0.0763763423905851
"rs31555041",0.0763765735167658
"rs31885358",0.0763765735167905
"rs31983590",0.0862630001552741
"rs33586566",0.0125092590259875
"rs31954469",0.0125092590259505
"rs6321959",0.0384759554105831
"rs6322563",0.0381326394723675
"rs31612433",0.0385322714968406
"c1.loc27.8",0.0347105632006495
"rs31745317",0.0297902293198413
"c1.loc28.1",0.0215425428106779
"c1.loc28.3",0.0143986550428281
"c1.loc28.5",0.0085659027141632
"c1.loc28.7",0.00419506479892214
"c1.loc28.9",0.00136751360999262
"c1.loc29.1",9.04415739894562e-05
"rs32434528",0.000300677778366136
"c1.loc29.4",0.00037902416971847
"rs32093536",0.00045818753810316
"c1.loc29.7",0.000371426948754746
"rs31325347",0.00029384202307999
"rs32602884",0.000293696864517378
"rs32209957",0.000293696864517378
"rs32662962",0.000293698533782109
"rs31517020",0.000293698533788281
"c1.loc30.2",0.00108025745173613
"c1.loc30.4",0.00235429858305948
"c1.loc30.5",0.00405610097837495
"rs31565873",0.00608361647497418
"rs13475872",0.00608361647499269
"rs32434080",0.00826229676834989
"c1.loc31",0.00420119180339138
"rs33840699",0.0014828872139799
"rs51350456",0.0014828872139799
"rs47870456",0.0014828823868621
"rs29596070",0.00148288238686827
"c1.loc31.5",0.00163614595924297
"c1.loc31.7",0.00176341598755252
"c1.loc31.8",0.0018557073973779
"rs13475876",0.00190853885125508
"c1.loc32.1",0.000297208736541076
"rs32516530",9.15109573885924e-05
"rs13475879",0.00284432916074144
"c1.loc32.6",0.00185000387310958
"rs29655680",0.000992680570981389
"c1.loc33",0.000378313094295313
"c1.loc33.1",0.00516266252827342
"rs29659120",0.0151177119801648
"rs29692016",0.0151177119801895
"rs31726356",0.0151177478852888
"rs31876473",0.0151177478852888
"rs6325108",0.0151197996579184
"rs31498570",0.0161600398628584
"c1.loc33.9",0.0176933488596266
"c1.loc34",0.0191111639464121
"rs13475883",0.0203714353121554
"c1.loc34.4",0.03183755137422
"rs13475885",0.0444190753600587
"c1.loc34.7",0.033676887134658
"rs13475887",0.0230992531360903
"c1.loc35",0.0204843180007455
"c1.loc35.2",0.0178645635262655
"c1.loc35.4",0.0152973951933948
"c1.loc35.6",0.0128386348109951
"c1.loc35.7",0.0105384603591651
"rs49196471",0.00843804562521388
"rs29963534",0.00843804562521388
"rs32161565",0.00843128525653756
"c1.loc36.2",0.00227290120604497
"c1.loc36.4",4.80880546381649e-06
"c1.loc36.6",0.00188824055991085
"rs32416624",0.00775657547446163
"rs3703813",0.00775657547447397
"rs52470670",0.00775657547447397
"rs3162895",0.00775657547447397
"rs30173232",0.00775657547446163
"c1.loc37",0.00422714984615898
"rs30465484",0.00166467686770244
"rs45845149",0.00166046244874301
"rs31727300",0.00166029433449004
"rs32848413",0.00166029433449004
"rs30230950",0.00166029433450238
"c1.loc37.5",0.00914331902962688
"rs32347478",0.0219717628611777
"rs33859501",0.0219717628612024
"rs30993227",0.0219724202159513
"rs51246399",0.0219724202159513
"rs30297732",0.0219724202159698
"rs30284166",0.0304705887288094
"rs3722989",0.0304705887288218
"rs3665792",0.0312408330916466
"c1.loc38.1",0.0308580079215219
"rs13475907",0.0304773661510723
"rs32080982",0.0304794184807469
"rs31292260",0.0304794184807346
"rs48130521",0.0205262629338148
"rs36768099",0.0205262629338086
"rs13475913",0.0205262629369315
"rs30948259",0.0236712560749362
"c1.loc38.8",0.0380661172765251
"rs37034472",0.0540062125104764
"c1.loc39.2",0.0246046764020959
"rs31200269",0.00611540865658894
"c1.loc39.6",0.00609078240913429
"rs3687595",0.00606620704484271
"rs238728371",0.00606620704483654
"rs31428112",0.00133227495388921
"rs13475920",0.00133227495387687
"c1.loc40",0.00129570272196947
"rs32184618",0.0117792366585401
"rs13475921",0.0117712587002878
"rs31377069",0.000224773992153808
"c1.loc40.6",0.00312683666046812
"rs13475923",0.0157814378795065
"rs31890646",0.0158041555105677
"rs32117726",0.0158041555106047
"rs30858590",0.0490271117465356
"rs3699038",0.0490271117466405
"rs30141894",0.0691909599836942
"rs32326048",0.00742587464079202
"rs31379580",0.00742587464074265
"c1.loc41.5",0.00612766312755907
"c1.loc41.7",0.00483219177994657
"rs47192472",0.00361963382510877
"c1.loc42",0.0134416985062728
"c1.loc42.2",0.0293107262609347
"c1.loc42.3",0.0502489162159912
"rs45948170",0.074681695058827
"c1.loc42.7",0.0671607820698072
"c1.loc42.9",0.0587509787846405
"c1.loc43.1",0.0498270393168657
"c1.loc43.2",0.0408451679662556
"rs46070989",0.032267896099354
"rs47823509",0.0104760055551029
"rs30156746",0.0104760055550782
"c1.loc43.8",0.010474012919582
"rs232937166",0.0104720194742545
"c1.loc44.1",0.0094335551414621
"rs31612855",0.00825851481626551
"rs236370277",0.00825851481622231
"rs30205785",0.00406000235306903
"c1.loc44.7",0.00992587706491376
"c1.loc44.9",0.018340107271894
"c1.loc45.1",0.0289668674247594
"rs13475954",0.0412491892509167
"rs32668634",0.0412491892509476
"c1.loc45.4",0.057544042139097
"c1.loc45.6",0.0756125021783758
"c1.loc45.8",0.0942270276515256
"rs13475957",0.112047875795884
"c1.loc46.1",0.108108414063704
"c1.loc46.3",0.104218888263479
"rs32358097",0.100382662640571
"rs3678377",0.171095713335232
"c1.loc46.7",0.287396997930933
"c1.loc46.9",0.427626344898093
"c1.loc47.1",0.579725191530281
"rs30804641",0.72960852288744
"rs31929413",0.721737988438374
"rs219816352",0.721737988432202
"rs50310397",0.825569461735875
"c1.loc47.6",0.758999509141216
"rs32104666",0.663942240525608
"rs51130709",0.663942240519356
"rs13475967",0.656208659914887
"rs48766014",0.656208659908506
"rs6234856",0.44863001309209
"rs46281379",0.448630013086511
"rs47858597",0.305879337636212
"rs30307999",0.305879337631732
"rs13475970",0.232457448936592
"rs30341693",0.232457448932834
"rs30337529",0.227851013716929
"rs30330393",0.227851013713368
"c1.loc48.5",0.272450928512697
"c1.loc48.7",0.313831288453496
"rs50175543",0.348568437063294
"rs45885174",0.348568437058702
"rs52508722",0.31008103428285
"rs13475979",0.231051609522764
"rs13475980",0.231051609519043
"rs33082518",0.298881311606972
"c1.loc49.4",0.293473135720619
"rs32252974",0.288095688741614
"c1.loc49.7",0.256826769861815
"c1.loc49.9",0.222767260285834
"c1.loc50",0.187589397370149
"rs33069894",0.153085530488803
"rs32182636",0.153085530488852
"c1.loc50.3",0.215994785554231
"rs13475984",0.283535686664284
"rs30390109",0.283535686664593
"rs3692309",0.413165573421386
"rs3713135",0.413165573421577
"rs4137444",0.390843619328262
"rs32234269",0.390843619327891
"rs31144348",0.206547572743354
"rs32199840",0.302356844238219
"rs13475991",0.15359327088901
"c1.loc51.2",0.154173989276568
"c1.loc51.4",0.149921416598606
"rs31707646",0.141383871217414
"rs30558618",0.141383871217322
"rs13476003",0.0935265932066118
"rs13476004",0.0262510553887687
"rs30442897",0.0534564436095073
"rs13476006",0.0536142586476772
"rs31666743",0.109822286060188
"rs32261404",0.109822286060404
"rs37486156",0.19163733076411
"rs36618375",0.223988768734333
"rs13476012",0.22403484859255
"rs30966514",0.224034848592543
"rs51210174",0.223931489133483
"c1.loc52.9",0.170325315562367
"rs13476025",0.118131680095594
"rs31806216",0.118131680095625
"rs13476030",0.18979276240725
"rs32565357",0.189792762407361
"rs32697536",0.176048510738608
"c1.loc53.4",0.239383008386197
"rs30506144",0.300804166152977
"rs30488981",0.300804166153088
"rs30487561",0.298991531545552
"rs30484039",0.298991531545528
"rs47647099",0.298996313902177
"rs49762567",0.288103643126049
"rs3680216",0.288103643126012
"rs31994637",0.288237609460315
"c1.loc54.2",0.388982115924359
"rs31960226",0.473202668836431
"rs32738873",0.473202668836566
"rs31744083",0.49040275158537
"rs47329570",0.490402751585351
"c1.loc54.7",0.490402731304122
"rs31960159",0.49040271102217
"c1.loc54.9",0.490402217726031
"rs13476045",0.490401724429565
"rs45843892",0.490401724429367
"rs31935680",0.357526738406685
"rs3685919",0.268569361444725
"rs6319405",0.268569361444583
"rs3710646",0.268569361444725
"rs30584583",0.356915759127152
"rs51800183",0.198892314781422
"rs48823920",0.198892314781144
"c1.loc55.7",0.166574829920641
"rs30719160",0.133875757439903
"rs31471077",0.133884513294751
"rs30675648",0.166127547302578
"rs32180662",0.166127547302615
"rs30680977",0.166275589120479
"rs32807094",0.166275589178653
"rs30637341",0.239105272542189
"rs32757674",0.122786349216349
"rs32268077",0.12278634921609
"rs30725178",0.0656070019490323
"rs30724278",0.0655676642353441
"rs30698282",0.0970469790613852
"rs3723088",0.0959511683813404
"c1.loc57.1",0.0814223341095926
"rs3663708",0.0665412836946121
"rs31007558",0.0665123080244264
"rs30727085",0.0665123080245436
"rs48015801",0.164025286778652
"c1.loc57.7",0.128043819626054
"rs230640887",0.0940222945014998
"rs237885247",0.0950764717406949
"rs48962291",0.0950764717415404
"c1.loc58.2",0.0747194435291648
"rs213804272",0.0541144041700174
"rs31189732",0.0541144041697212
"rs47085630",0.0424426371436803
"rs49565748",0.0424426371434335
"rs30561273",0.0421468577656684
"rs30785490",0.0421468577653721
"rs32612920",0.00818973654855485
"c1.loc58.9",0.0187595435895292
"rs31573665",0.0331704840005461
"rs47328362",0.0331704840003733
"c1.loc59.1",0.0493026408034679
"rs32769332",0.0674700935767768
"rs32013884",0.0674700935764867
"rs50349808",0.0670610495263702
"rs32811017",0.0670610495260431
"c1.loc59.6",0.0664185824188263
"rs31348531",0.0657606028719643
"rs33889750",0.0657606028716742
"rs47026905",0.103494277361294
"rs6263067",0.1034942773603
"rs32558546",0.103494277359165
"rs32101230",0.057767495443077
"c1.loc60.2",0.0483521924042454
"rs49892902",0.0387969924997077
"rs8256197",0.0379465092736822
"rs13459051",0.0379465092730404
"c1.loc60.7",0.0568514348407045
"rs32335588",0.0782645442864697
"rs32112067",0.0782645442855378
"c1.loc61.1",0.112351104422559
"c1.loc61.3",0.150589651587966
"rs108035116",0.190925089225757
"rs6250833",0.191201078802483
"c1.loc61.7",0.128940490291866
"rs37505705",0.0764350229697606
"rs31762723",0.0765843540313964
"rs30763126",0.0990502658711019
"rs33494411",0.0990502658713056
"rs30766381",0.0992669829360328
"rs32452440",0.0992669829361747
"rs37131139",0.0768561404859028
"rs13476119",0.0768561404859584
"c1.loc62.5",0.0471566055968652
"rs49289788",0.0237373821237469
"rs36548506",0.0237373821237962
"c1.loc62.7",0.0238412032262574
"rs37895110",0.0239446747368495
"rs3691222",0.0237334221570343
"rs33589350",0.0241290782163153
"rs33586240",0.0127657394840974
"rs6406033",0.0197335935484627
"rs46445754",0.0197335935485676
"c1.loc63.6",0.0498413293500251
"rs31534627",0.092705018460779
"rs215571652",0.0929551635410286
"rs13476137",0.0929551635412138
"c1.loc64.1",0.124732345896254
"rs13476138",0.152100740003901
"rs49147137",0.152100740004253
"c1.loc64.4",0.266837321294128
"rs107630249",0.40006183597432
"rs3682831",0.400061835974536
"c1.loc64.7",0.27317338281142
"rs13476148",0.159559540244353
"c1.loc65",0.169821478381833
"c1.loc65.1",0.174780568091996
"rs31066093",0.173970883672702
"c1.loc65.5",0.0865389128883578
"c1.loc65.7",0.0280629181007942
"c1.loc65.9",0.00164300536136301
"c1.loc66.1",0.00696274691905314
"rs31063456",0.0406202434035051
"c1.loc66.4",0.0404943742836019
"rs31055515",0.0403678879002116
"rs32687429",0.0403678879000573
"rs32586240",0.0403678879000079
"rs31006935",0.121282893450498
"rs31190083",0.121282893450362
"c1.loc66.7",0.120909373955991
"rs13476163",0.120533917904613
"rs30991744",0.120533917904317
"c1.loc67",0.118045161376905
"rs30769516",0.110174094503622
"rs3711440",0.0842551574783185
"rs6411476",0.084255157459069
"c1.loc67.5",0.0508660498376377
"rs3680050",0.0256746921221757
"rs31640585",0.0256746921220214
"rs13476175",0.0255049371359529
"rs13476177",0.0255049371343791
"rs31897662",0.0364164591686588
"rs31230953",0.0364164591667826
"c1.loc68",0.0327443928926691
"rs31226073",0.0285467029648206
"rs31206241",0.0285467029630617
"rs31201062",0.000408025932642821
"rs6267646",0.000408025932439155
"rs31180473",0.000408025932229317
"rs32707440",0.0102145136132988
"c1.loc68.6",0.000343797112829722
"rs31173184",0.0196960907328849
"rs13476184",0.0179955271589577
"rs231234050",0.0179955271576184
"rs47680477",0.0163285641211683
"rs37068894",0.0163285641202426
"rs32571301",0.0111164880479914
"rs262053553",0.0101559289632349
"rs13476187",0.0101559289625004
"rs32380880",0.0101559289617598
"rs220024233",0.00343196868521378
"rs32238353",0.00032844371288459
"rs30592448",0.000328443711656423
"c1.loc69.7",0.000620673407151603
"rs6181202",0.00453163720364406
"rs235136764",0.00453163720411928
"rs31598960",0.000844589882415411
"rs33692139",0.00113154931059931
"c1.loc70.2",0.00736778631509644
"rs31404871",0.0187993496227015
"rs30497461",0.0187993496237013
"rs32737955",0.0200724423410782
"rs48733621",0.0200724423420903
"rs31266917",0.0200724423430593
"rs30694289",0.000966480515920806
"rs3696645",0.000966480516130643
"rs30471675",0.000785130488771189
"rs3722993",0.000785130488635411
"rs49525822",2.31353212795003e-05
"rs6209248",2.31353212548135e-05
"rs33742737",3.03851107269609e-06
"rs33740307",1.18905441465355e-05
"rs33739489",0.0161028689203228
"rs31315479",0.0161028689201191
"rs31303858",0.0731283869916774
"rs47852191",0.0731283869920045
"c1.loc71.5",0.053276201848977
"rs3693161",0.0354950030565487
"rs31694619",0.0354950030566845
"rs6255075",0.0714016609744356
"rs31200652",0.0300703466357566
"rs3685643",0.0300703466357875
"rs4222751",0.03007034663588
"rs46133782",0.0300703466359726
"rs49476641",0.0301804444368905
"rs6341208",0.0301804444369769
"rs32045036",0.0302916448353611
"c1.loc72.3",0.0370893259240814
"rs31112062",0.0416933877635663
"rs47368358",0.0416933877636465
"c1.loc72.6",0.0417795915699664
"rs32756586",0.0418544447557926
"rs45839990",0.041854444755842
"rs252083450",0.0419160799476627
"rs32249444",0.0419160799477121
"rs51211918",0.0419654999853876
"rs33755574",0.0419654999854185
"rs31837891",0.0420027109794524
"rs32390142",0.0420027109819828
"c1.loc73.3",0.0613619076887847
"rs252005115",0.0826501869425787
"rs30710796",0.0826501869460595
"rs31428291",0.046563623173813
"rs50916411",0.0498843259086054
"rs31286471",0.0498843259114505
"rs38443544",0.156003409979491
"rs36664522",0.156003409984459
"rs37545577",0.162120753479637
"rs38346127",0.162120753484637
"rs13476221",0.259706408508102
"rs48965551",0.267667959565496
"rs4222799",0.182672581741478
"c1.loc74.5",0.381679347945925
"rs30563210",0.629868316081737
"rs32238450",0.629868316084366
"rs48267649",0.632861402986693
"rs50209411",0.632861402989026
"c1.loc75",0.609031209683437
"c1.loc75.2",0.56755083418687
"c1.loc75.4",0.510853286093178
"rs48742671",0.444146706332647
"c1.loc75.8",0.453795679214413
"c1.loc76",0.460040218644595
"c1.loc76.1",0.462637662329928
"c1.loc76.3",0.461522014873093
"c1.loc76.5",0.456809520921596
"Affy_10351506",0.448782403639986
"c1.loc76.9",0.47915820628975
"c1.loc77",0.509586604324349
"c1.loc77.2",0.539668682132712
"c1.loc77.4",0.568976633912157
"c1.loc77.6",0.597070472932791
"c1.loc77.8",0.623517597746214
"c1.loc78",0.647913634224239
"c1.loc78.2",0.669902610830052
"c1.loc78.4",0.689194448107561
"c1.loc78.6",0.705577997662974
"c1.loc78.7",0.718928417650604
"c1.loc78.9",0.729208413311996
"c1.loc79.1",0.736463650464861
"rs48042782",0.740813315014906
"c1.loc79.4",0.77289657064441
"rs8242766",0.787970524371458
"rs31555580",0.6718067748969
"c1.loc79.8",0.692702721265301
"rs31557390",0.698030308651624
"rs3722740",0.698030308651624
"rs3705274",0.698030308651624
"rs31218323",0.698031244900331
"rs47959443",0.698031244900695
"rs31572828",0.91756665604292
"rs31567752",0.917566656042815
"rs31561281",0.642666579869145
"rs31559428",0.642666579868713
"rs49959361",0.642664876826137
"rs51348059",0.642664876825902
"rs259230007",0.473685204545558
"rs31612847",0.473685204544601
"rs31608155",0.139152967993324
"rs31405208",0.139152967992948
"c1.loc80.9",0.139151523916436
"rs46128598",0.139150079847676
"rs31590468",0.139150079847676
"rs31587587",0.13929648834308
"rs31584856",0.214864770733363
"rs3682996",0.214864770733487
"rs3669108",0.214864770733487
"rs6375522",0.214864770733487
"rs4136041",0.21486477073348
"rs31329176",0.214864770733338
"rs31420065",0.124801669545723
"rs32559774",0.124801669545593
"c1.loc81.6",0.124851383902554
"Affy_10352113",0.124901099530507
"c1.loc81.9",0.161803009421567
"Affy_4563273",0.192388467112623
"c1.loc82.3",0.196392544672866
"c1.loc82.5",0.197703316398305
"c1.loc82.7",0.195996480259827
"c1.loc82.9",0.191210007903954
"c1.loc83.1",0.183574354759194
"c1.loc83.3",0.173576293421051
"rs30712622",0.161867751225488
"rs31282255",0.242335611742023
"rs30991108",0.242335611742141
"rs32374329",0.24233592545469
"rs51978750",0.24233592545469
"rs49397948",0.242335925455078
"rs13476267",0.242335925020461
"D1Mit426",0.242335708137376
"rs31837265",0.242335708137295
"rs32603212",0.181978032169293
"rs33816636",0.181849638147575
"rs8280550",0.181849638147656
"c1.loc84.5",0.235572363432311
"rs32337187",0.290956008917078
"rs49919565",0.290956008916991
"rs30696745",0.181525660803293
"c1.loc85",0.181210999416173
"rs50246612",0.180896531089325
"rs49141251",0.180896531089331
"c1.loc85.3",0.183144167523634
"c1.loc85.5",0.180069552776112
"rs31307349",0.171892686745197
"rs46841759",0.1720480205443
"rs30477005",0.258225772141817
"c1.loc86.1",0.258081165935276
"rs13476281",0.25221722523323
"rs37406736",0.242405825342224
"rs32470790",0.24240582534231
"c1.loc86.5",0.376119469430069
"rs3681873",0.520643699308404
"rs48322183",0.520643699308848
"D1Mit291",0.697950905190375
"rs31785670",0.50150441428638
"c1.loc87.1",0.506909018766471
"rs33828269",0.487980123230473
"rs49916193",0.487980123230418
"rs6154379",0.487980100362464
"rs30908228",0.487980100362501
"c1.loc87.5",0.519404440460893
"c1.loc87.7",0.546087128351137
"rs259343497",0.567390187121319
"rs253187153",0.567390187121331
"c1.loc88",0.552396006696118
"rs32850226",0.525431269502107
"rs32516008",0.525367198604577
"c1.loc88.4",0.525367835844918
"rs13476286",0.525368473084561
"rs32287507",0.52536847308487
"rs225810346",0.704187122770089
"c1.loc88.7",0.605362537432723
"rs13476288",0.490744161293163
"rs13476289",0.490744161293101
"rs31553683",0.546766903704347
"rs32765300",0.546766903704347
"c1.loc89.2",0.484456987983561
"rs30819961",0.406373112441846
"rs31639995",0.148672446884968
"rs31963150",0.148672446884666
"c1.loc89.6",0.148671649747444
"rs13476290",0.14867085261242
"rs32930910",0.14867085261242
"rs32940354",0.148549616212958
"rs32943482",0.0889413391494594
"rs31574365",0.0889413391493483
"rs31842689",0.0695257055557062
"rs46826113",0.0403024363167135
"rs48848476",0.0598764183763883
"rs32769253",0.0598764183765055
"rs52611989",0.128930936550639
"rs32676547",0.128930936550769
"c1.loc90.7",0.133033732576936
"rs3666905",0.134290435715124
"rs30555925",0.134290435715124
"rs13476293",0.134290328166221
"rs31396325",0.134290328166178
"c1.loc91.1",0.106962503633428
"rs3655423",0.0809497297062293
"rs49276806",0.0809497297061922
"rs32528185",0.0791357962874409
"rs36403320",0.0791357962874718
"rs31624276",0.104446234860848
"rs36292189",0.104388915362151
"c1.loc91.7",0.0567047411022599
"rs31619477",0.0214236573112762
"rs32790314",1.85098665969239e-06
"c1.loc92.1",0.00345201609015646
"c1.loc92.3",0.0147168850148568
"c1.loc92.5",0.0339054675291985
"rs32404005",0.0599388241201286
"rs30604277",0.130463164631201
"rs3675669",0.196282494533029
"rs30553311",0.196282494533004
"rs32180871",0.119061822627963
"rs32051408",0.119061822628062
"rs31378221",0.279551014701299
"rs32133051",0.279551014701583
"rs31813445",0.279640828994645
"c1.loc93.6",0.338502195348387
"rs6210519",0.372271972130871
"rs33836586",0.372271972130729
"rs31002906",0.259507822442862
"rs30600086",0.259507822442664
"c1.loc94.1",0.243591808596744
"rs8253327",0.222942689942345
"rs49775781",0.222942689942345
"rs31784615",0.224716399678815
"c1.loc94.5",0.217212293365906
"rs48016635",0.201047462995032
"rs52191121",0.201047462994983
"rs30762235",0.182011330040761
"rs50259858",0.181955356882472
"rs30997318",0.181955356882391
"rs33068074",0.127174902456244
"rs32793860",0.0877909512913647
"rs13500420",0.087790951291303
"rs30897483",0.0877905543274844
"rs13476310",0.0877905543273919
"rs31478915",0.0364196412163848
"rs33174703",0.0364196412163601
"c1.loc95.6",0.0779627209130993
"rs30453157",0.132149232843353
"rs32271175",0.132149232843421
"rs13476313",0.132149537150929
